source_id,n_occurrences,n_tables,tables,columns,in_manifest,has_local_file_record,short_citation,full_reference,url
louisianaherps_valentinei,6,3,literature_trait_extraction.csv;organismal_traits_curated.csv;path_input_master.csv,lifestyle_source_id;organismal_source_ids;source_id,True,True,Glorioso_LouisianaHerps_valentinei,Valentine's Southern Dusky Salamander species account on Amphibians and Reptiles of Louisiana,https://www.louisianaherps.com/southern-dusky-salamander-d.html
nc_biodiversity_amphibians,241,4,literature_trait_extraction.csv;nc_biodiversity_desmognathus_traits.csv;organismal_traits_curated.csv;path_input_master.csv,body_size_proxy_source_id;development_source_id;elevation_source_id;lifestyle_source_id;nc_source_id;organismal_source_ids;source_id,True,True,Petranka_Amphibians_of_North_Carolina,Amphibians of North Carolina species accounts,https://auth1.dpr.ncparks.gov/amphibians/index.php
pyron_beamer_2022_ocoee_treatmentbank,6,3,literature_trait_extraction.csv;organismal_traits_curated.csv;path_input_master.csv,body_size_proxy_source_id;organismal_source_ids;source_id,True,True,Pyron_Beamer_2022_ocoee_TreatmentBank,TreatmentBank XHTML rendering of Desmognathus perlapsus treatment from Pyron and Beamer 2022,https://treatment.plazi.org/GgServer/xhtml/039087A5C5193F4AC4BA191F72C40EB6
pyron_beamer_2023_conanti_fuscus_appendix_s1,60,3,conanti_fuscus_morphometrics_summary.csv;organismal_traits_curated.csv;path_input_master.csv,body_size_proxy_source_id;cf_source_id;organismal_source_ids;source_id,True,True,Pyron_Beamer_2023_conanti_fuscus_AppS1,Pyron and Beamer conanti-fuscus Appendix S1 specimen morphometrics,https://zenodo.org/records/7972011
pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,18,3,literature_trait_extraction.csv;organismal_traits_curated.csv;path_input_master.csv,body_size_proxy_source_id;development_source_id;lifestyle_source_id;organismal_source_ids;source_id,True,False,Pyron_OConnell_Duncan_Burbrink_Beamer_2023_monticola,"Speciation hypotheses from phylogeographic delimitation yield an integrative taxonomy for Seal Salamanders, Desmognathus monticola",https://doi.org/10.1093/sysbio/syac065
pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,21,3,literature_trait_extraction.csv;organismal_traits_curated.csv;path_input_master.csv,body_size_proxy_source_id;development_source_id;lifestyle_source_id;organismal_source_ids;source_id,True,True,Pyron_OConnell_Lamb_Beamer_2022_pascagoula_TreatmentBank,TreatmentBank XHTML rendering of the Desmognathus pascagoula treatment from Pyron et al. 2022,https://treatment.plazi.org/GgServer/xhtml/03CE87E1FFC1FA62FF44FB7CFC539344
repo_divergence_summary_statistics_by_species,204,3,path_input_master.csv;te_model_feature_panel.csv;te_path_features.csv,divergence_source_id;te_feature_source_ids,True,True,divergence_summary_statistics_by_species,Repo-local TE divergence and indel summary statistics by species,
repo_diversity_order_stats,238,4,master_species_table.csv;path_input_master.csv;te_model_feature_panel.csv;te_path_features.csv,order_diversity_source_id;te_feature_source_ids,True,True,diversity_order_stats,Repo-local TE order diversity summary table,
repo_diversity_superfamily_stats,68,2,master_species_table.csv;path_input_master.csv,superfamily_diversity_source_id,True,True,diversity_superfamily_stats,Repo-local TE superfamily diversity summary table,
repo_dnapipete_order_breakdown,238,4,master_species_table.csv;path_input_master.csv;te_model_feature_panel.csv;te_path_features.csv,te_feature_source_ids;te_order_source_id,True,True,dnaPipeTE_order_breakdown,Repo-local dnaPipeTE order breakdown table,
repo_dnapipete_superfamily_breakdown,68,2,master_species_table.csv;path_input_master.csv,te_superfamily_source_id,True,True,dnaPipeTE_superfamily_breakdown,Repo-local dnaPipeTE superfamily breakdown table,
repo_ectopic_recombination_filtered_3000bp_5plusdomains,230,4,master_species_table.csv;path_input_master.csv;te_model_feature_panel.csv;te_path_features.csv,ectopic_source_id;te_feature_source_ids,True,True,ectopic_recombination_filtered_3000bp_5plusdomains,Repo-local ectopic recombination summary table filtered to 3000 bp and at least 5 domains,
vhs_northern_pygmy_salamander_organi,5,3,literature_trait_extraction.csv;organismal_traits_curated.csv;path_input_master.csv,body_size_proxy_source_id;organismal_source_ids;source_id,True,True,VHS_Northern_Pygmy_Salamander,Virginia Herpetological Society Northern Pygmy Salamander species account,https://virginiaherpetologicalsociety.com/amphibians/salamanders/pygmy-salamander/index.php
