source_row,english_name,species,family,genome_size_gb,shannon_top10_superfamilies,gini_simpson_top10_superfamilies,group,source
15,white shark,Carcharodon carcharias,Alopiidae,4.63,1.53,0.66,Cartilaginous fish,Historical published-vertebrate composite used by prior project code
16,brownbanded bamboo shark,Chiloscyllium punctatum,Hemiscylliidae,4.7,1.31,0.58,Cartilaginous fish,Historical published-vertebrate composite used by prior project code
17,cloudy catshark,Scyliorhinus torazame,Scyliorhinidae,6.7,1.74,0.77,Cartilaginous fish,Historical published-vertebrate composite used by prior project code
18,African lungfish,Protopterus annectens,Protopteridae,40,1.63,0.72,Lobe-finned fish,Historical published-vertebrate composite used by prior project code
19,Australian lungfish,Neoceratodus forsteri,Ceratodontidae,43,1.45,0.69,Lobe-finned fish,Historical published-vertebrate composite used by prior project code
20,Gaboon caecilian,Geotrypetes seraphini,Dermophiidae,3.8,1.57,0.69,Caecilian,Historical published-vertebrate composite used by prior project code
21,Tiny Cayenne Caecilian,Microcaecilia unicolor,Siphonopidae,4.7,1.64,0.7,Caecilian,Historical published-vertebrate composite used by prior project code
22,Two-lined caecilian,Rhinatrema bivittatum,Rhinatrematidae,5.3,1.64,0.74,Caecilian,Historical published-vertebrate composite used by prior project code
23,Banna Caecilian,Ichthyophis bannanicus,Ichthyophiidae,12.2,1.45,0.67,Caecilian,Historical published-vertebrate composite used by prior project code
24,Ornate burrowing frog,Platyplectrum ornatum,Myobatrachidae,1.06,2.15,0.87,Frogs,Historical published-vertebrate composite used by prior project code
25,western clawed frog,Xenopus tropicalis,Pipidae,1.5,2.12,0.86,Frogs,Historical published-vertebrate composite used by prior project code
26,Tibetan frog,Nanorana parkeri,Dicroglossidae,2.3,2.14,0.86,Frogs,Historical published-vertebrate composite used by prior project code
27,African clawed frog,Xenopus laevis,Pipidae,2.7,2.06,0.85,Frogs,Historical published-vertebrate composite used by prior project code
28,Black-webbed Treefrog,Rhacophorus kio,Rhacophoridae,2.7,1.95,0.83,Frogs,Historical published-vertebrate composite used by prior project code
29,Sichuan whipping frog,Zhangixalus dugritei,Rhacophoridae,3.4,2.04,0.85,Frogs,Historical published-vertebrate composite used by prior project code
30,Leishan moustache toad,Leptobrachium leishanense,Megophryidae,3.5,2,0.84,Frogs,Historical published-vertebrate composite used by prior project code
31,Bufo bufo gargarizans,Bufo gargarizans,Bufonidae,5.4,1.96,0.82,Frogs,Historical published-vertebrate composite used by prior project code
32,American bullfrog,Lithobates catesbeianus,Ranidae,6.3,2.09,0.86,Frogs,Historical published-vertebrate composite used by prior project code
33,strawberry poison arrow frog,Oophaga pumilio,Dendrobatidae,6.76,1.9,0.81,Frogs,Historical published-vertebrate composite used by prior project code
34,Central Asian Salamander,Ranodon sibiricus,Hynobiidae,21,1.81,0.8,Salamanders,Historical published-vertebrate composite used by prior project code
35,Longchuan Crocodile Newt,Tylototriton verrucosus,Salamandridae,24,1.88,0.8,Salamanders,Historical published-vertebrate composite used by prior project code
36,Black-bellied slender salamander,Batrachoseps nigriventris,Plethodontidae,25,2.18,0.86,Salamanders,Historical published-vertebrate composite used by prior project code
37,axolotl,Ambystoma mexicanum,Ambystomatidae,32,1.98,0.83,Salamanders,Historical published-vertebrate composite used by prior project code
38,Pachytriton,Pachytriton brevipes,Salamandridae,40,2.07,0.85,Salamanders,Historical published-vertebrate composite used by prior project code
39,Qianshan Fire-bellied Newt,Cynops orientalis,Salamandridae,44,2.09,0.86,Salamanders,Historical published-vertebrate composite used by prior project code
40,speckled black salamander,Aneides flavipunctatus,Plethodontidae,44,1.96,0.78,Salamanders,Historical published-vertebrate composite used by prior project code
41,Chinese giant salamander,Andrias davidianus,Cryptobranchidae,48,1.92,0.81,Salamanders,Historical published-vertebrate composite used by prior project code
42,Hong Kong Warty Newt,Paramesotriton hongkongensis,Salamandridae,51,2.16,0.87,Salamanders,Historical published-vertebrate composite used by prior project code
43,Hellbender,Cryptobranchus alleganiensis,Cryptobranchidae,55,2.02,0.84,Salamanders,Historical published-vertebrate composite used by prior project code
44,prairie rattlesnake,Crotalus viridis,Viperidae,1.3,1.98,0.82,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
45,Coluber sirtalis,Thamnophis sirtalis,Colubridae,1.42,2.04,0.84,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
46,Burmese python,Python bivittatus,Pythonidae,1.44,1.95,0.81,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
47,green anole,Anolis carolinensis,Dactyloidae,1.7,2.13,0.86,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
48,Red cornsnake,Pantherophis guttatus,Colubridae,1.73,1.99,0.82,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
49,India cobra,Naja naja,Elapidae,1.79,1.81,0.76,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
50,hot-spring snake,Thermophis baileyi,Colubridae,1.85,2.02,0.83,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
51,blue-banded sea snake,Hydrophis cyanocinctus,Elapidae,2.02,1.81,0.76,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
52,Shaw's sea snake,Hydrophis curtus,Elapidae,2.03,2.05,0.85,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
53,Chinese alligator,Alligator sinensis,Alligatoridae,2.1,1.84,0.8,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
54,Siamese Crocodile,Crocodylus siamensis,Crocodylinae,2.1,1.81,0.79,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
55,three-keeled pond turtle,Mauremys reevesii,Geoemydidae,2.2,1.95,0.82,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
56,crocodile lizard,Shinisaurus crocodilurus,Shinisauridae,2.2,1.79,0.76,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
57,Cape cliff lizard,Hemicordylus capensis,Cordylidae,2.3,1.73,0.75,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
58,Three-toed box turtle,Terrapene carolina,Emydidae,4.18,1.96,0.83,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
59,tuatara,Sphenodon punctatus,Sphenodontidae,5,1.69,0.71,Non-avian reptiles,Historical published-vertebrate composite used by prior project code
60,Ring-necked pheasant,Phasianus colchicus,Phasianidae,0.9,0.89,0.43,Birds,Historical published-vertebrate composite used by prior project code
61,chicken,Gallus gallus,Phasianidae,1.1,0.89,0.45,Birds,Historical published-vertebrate composite used by prior project code
62,duck,Anas anas,Anatidae,1.1,0.6,0.26,Birds,Historical published-vertebrate composite used by prior project code
63,killdeer,Charadrius vociferus,Charadriidae,1.2,0.62,0.33,Birds,Historical published-vertebrate composite used by prior project code
64,Downy woodpecker,Dryobates pubescens,Picidae,1.2,0.36,0.16,Birds,Historical published-vertebrate composite used by prior project code
65,White-tailed Tropicbird,Phaethon lepturus,Phaethontidae,1.2,0.73,0.42,Birds,Historical published-vertebrate composite used by prior project code
66,Red-crested Turaco,Tauraco erythrolophus,Musophagidae,1.2,0.72,0.4,Birds,Historical published-vertebrate composite used by prior project code
67,zebra finch,Taeniopygia guttata,Estrildidae,1.2,0.84,0.53,Birds,Historical published-vertebrate composite used by prior project code
68,Sharp-shinned hawk,Accipiter striatus,Accipitridae,1.55,1.03,0.57,Birds,Historical published-vertebrate composite used by prior project code
69,harpy eagle,Harpia harpyja,Accipitridae,1.58,1.01,0.44,Birds,Historical published-vertebrate composite used by prior project code
70,Cuban parrot,Amazona leucocephala,Psittacidae,1.65,0.75,0.58,Birds,Historical published-vertebrate composite used by prior project code
71,Little corella,Cacatua sanguinea,Psittacidae,1.71,0.74,0.39,Birds,Historical published-vertebrate composite used by prior project code
72,Eurasian eagle owl,Bubo bubo,Strigidae,2.03,0.9,0.48,Birds,Historical published-vertebrate composite used by prior project code
73,South African ostrich,Struthio australis,Struthionidae,2.16,0.75,0.28,Birds,Historical published-vertebrate composite used by prior project code
74,platypus,Ornithorhynchus anatinus,Ornithorhynchidae,1.99,0.96,0.55,Mammals,Historical published-vertebrate composite used by prior project code
75,short-beaked echidna,Tachyglossus aculeatus,Tachyglossidae,2.2,0.96,0.55,Mammals,Historical published-vertebrate composite used by prior project code
76,giant panda,Ailuropoda melanoleuca,Ursidae,2.2,1.56,0.74,Mammals,Historical published-vertebrate composite used by prior project code
77,large flying fox,Pteropus vampyrus,Pteropodidae,2.2,1.44,0.64,Mammals,Historical published-vertebrate composite used by prior project code
78,dogs,Canis lupus familiaris,Canidae,2.39,1.15,0.56,Mammals,Historical published-vertebrate composite used by prior project code
79,pig,Sus scrofa,Suidae,2.5,1.44,0.7,Mammals,Historical published-vertebrate composite used by prior project code
80,Quokka,Setonix brachyurus,Macropodidae,2.5,1.58,0.76,Mammals,Historical published-vertebrate composite used by prior project code
81,house mouse,Mus musculus,Muridae,2.7,1.24,0.65,Mammals,Historical published-vertebrate composite used by prior project code
82,northern bottlenose whale,Hyperoodon ampullatus,Ziphiidae,2.8,1.01,0.45,Mammals,Historical published-vertebrate composite used by prior project code
83,human,Homo sapiens,Hominidae,3,1.68,0.77,Mammals,Historical published-vertebrate composite used by prior project code
84,Koala,Phascolarctos cinereus,Phascolarctidae,3.2,1.55,0.72,Mammals,Historical published-vertebrate composite used by prior project code
85,Asian elephant,Elephas maximus,Elephantidae,3.2,1.52,0.72,Mammals,Historical published-vertebrate composite used by prior project code
86,Cape elephant shrew,Elephantulus edwardii,Macroscelididae,4.2,1.15,0.58,Mammals,Historical published-vertebrate composite used by prior project code
87,Cape golden mole,Chrysochloris asiatica,Chrysochloridae,4.7,1.37,0.71,Mammals,Historical published-vertebrate composite used by prior project code
NA,NA,Desmognathus abditus,Plethodontidae,NA,1.4799384917086456,0.6320847577096314,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus adatsihi,Plethodontidae,NA,1.5245864064816321,0.6523551655721606,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus aeneus,Plethodontidae,NA,1.5560264809822304,0.670683239371582,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus amphileucus,Plethodontidae,NA,1.577884537872989,0.67481611376187,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus anicetus,Plethodontidae,NA,1.5624560478123048,0.6679952041611386,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus apalachicolae,Plethodontidae,NA,1.5232368143196946,0.650933660249759,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus aureatus,Plethodontidae,NA,1.4813309818381446,0.6311476981956861,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus auriculatus,Plethodontidae,NA,1.4654777883851478,0.6225417281871126,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus bairdi,Plethodontidae,NA,1.4200443135195258,0.6055070168745109,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus balsameus,Plethodontidae,NA,1.5566516152832945,0.666228653509597,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus campi,Plethodontidae,NA,1.528179774546614,0.6518411091517253,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus carolinensis,Plethodontidae,NA,1.557807354688954,0.6667585586532339,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus catahoula,Plethodontidae,NA,1.4562378317975753,0.6198984546304599,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus cheaha,Plethodontidae,NA,1.4876120955749297,0.6357958002815434,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus conanti,Plethodontidae,NA,1.5415502735050657,0.6574414684715497,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus fuscus,Plethodontidae,NA,1.4655399538197815,0.6252249253819168,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus gvnigeusgwotli,Plethodontidae,NA,1.552236665216488,0.6626698504428568,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus intermedius,Plethodontidae,NA,1.532367213964158,0.6556412471389486,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus kanawha,Plethodontidae,NA,1.4908742355468105,0.6383648801594434,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus lycos,Plethodontidae,NA,1.5179905555845374,0.6481247987373885,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus marmoratus,Plethodontidae,NA,1.5502855448225696,0.6630102256461288,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus mavrokoilius,Plethodontidae,NA,1.5108330347256558,0.6478664062182381,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus monticola,Plethodontidae,NA,1.5187838550970565,0.650316937013922,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus ocoee,Plethodontidae,NA,1.5347103646130167,0.6557401716401761,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus orestes,Plethodontidae,NA,1.4483113465359814,0.6237438910301999,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus organi,Plethodontidae,NA,1.6561305040072323,0.7111461625930648,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus pascagoula,Plethodontidae,NA,1.4740405360622584,0.6322920827819989,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus perlapsus,Plethodontidae,NA,1.535033848148302,0.6577008385010974,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus santeetlah,Plethodontidae,NA,1.5326074855101726,0.6559279482648914,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus tilleyi,Plethodontidae,NA,1.5697624523593026,0.6715358906346482,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus valentinei,Plethodontidae,NA,1.49092767418016,0.6379271868416044,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus valtos,Plethodontidae,NA,1.3891512419632972,0.5910884105220606,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus welteri,Plethodontidae,NA,1.5017390103833976,0.6415499145755208,Desmognathus,Current audited retry-averaged TE34 superfamily composition
NA,NA,Desmognathus wrighti,Plethodontidae,NA,1.6707070908554147,0.7176256828210983,Desmognathus,Current audited retry-averaged TE34 superfamily composition
